"fpkm.long","genes","age"
5.16085293394825,"Pikfyve","P7"
0.0803221510681126,"Pth2r","P7"
183.801042658463,"Map2","P7"
1.61743439398921,"Unc80","P7"
11.8047652890731,"Rpe","P7"
5.79537005484848,"Kansl1l","P7"
72.5857048543071,"Acadl","P7"
11.175354319256,"Lancl1","P7"
0.0786772228312457,"Cps1","P7"
3.5666560307932,"Erbb4","P7"
1.10822821686121,"Ikzf2","P7"
0.302921409836309,"Spag16","P7"
0.428511034734492,"Vwc2l","P7"
1.89767065743567,"Bard1","P7"
16.0270220474234,"Atic","P7"
46.1981233544239,"Fn1","P7"
0.756878704843192,"Mreg","P7"
3.8291969026949,"Pecr","P7"
3.3070566539484,"Tmem169","P7"
9.77022167702791,"Xrcc5","P7"
4.30117973411868,"March4","P7"
6.68681330746337,"Smarcal1","P7"
32.6685192268471,"Rpl37a","P7"
338.799078661747,"Igfbp2","P7"
65.112028953169,"Igfbp5","P7"
0.59255650408717,"6030407O03Rik","P7"
7.62770184665106,"Tns1","P7"
0.297108976132769,"Rufy4","P7"
80.03766913446,"Arpc2","P7"
74.0764464866426,"Aamp","P7"
20.9855761561621,"Pnkd","P7"
16.0841279789662,"Tmbim1","P7"
1.08022340438846,"Catip","P7"
0.84958734277911,"Slc11a1","P7"
25.7238398700145,"Ctdsp1","P7"
0.277946506527132,"Vil1","P7"
6.17902794524357,"Usp37","P7"
17.5709704999014,"Rqcd1","P7"
19.567568491359,"Plcd4","P7"
6.7962409102987,"Zfp142","P7"
7.50356606502494,"Bcs1l","P7"
16.7676482054037,"Rnf25","P7"
3.22723301760085,"Stk36","P7"
6.11647632047423,"Ttll4","P7"
1.01727953576545,"Cyp27a1","P7"
0.211025734518208,"Wnt6","P7"
0.0482494332450074,"Wnt10a","P7"
26.8370479634824,"Cdk5r2","P7"
0.455482479671071,"Ccdc108","P7"
2.18070655895563,"Nhej1","P7"
0.0188190361068818,"Slc23a3","P7"
12.8616152764195,"Cnppd1","P7"
28.7935028011429,"Fam134a","P7"
7.62325844341333,"Zfand2b","P7"
4.97091033497801,"Abcb6","P7"
18.253712990864,"Atg9a","P7"
6.0342514124582,"Ankzf1","P7"
11.1168701535747,"Glb1l","P7"
17.2961125453209,"Stk16","P7"
12.0197964878645,"Tuba4a","P7"
10.3553703617761,"Dnajb2","P7"
8.36198676267967,"Ptprn","P7"
5.4023432146529,"Resp18","P7"
23.7965173539363,"Dnpep","P7"
0.824462902125788,"Des","P7"
4.14704426119486,"Speg","P7"
14.3836790068014,"Gmppa","P7"
2.61979346013281,"Asic4","P7"
12.2430304339194,"Chpf","P7"
4.42596869314366,"Tmem198","P7"
6.71613648390379,"Obsl1","P7"
5.38501078669221,"Inha","P7"
5.28590103911138,"Stk11ip","P7"
17.252920910913,"Slc4a3","P7"
0.025336687697551,"Gm17751","P7"
22.2638796678367,"Epha4","P7"
0.250768980244043,"Sgpp2","P7"
17.7359683276823,"Farsb","P7"
32.163207114239,"Acsl3","P7"
3.00951096920901,"Utp14b","P7"
0.570942574294963,"Kcne4","P7"
