X,P7FPKM,P14FPKM,P21FPKM,P150FPKM
Synj2bp-cox16,0.32875162163039,0.48236619674456,0.435438337118873,0.531462379883301
Gm4787,0.304894182503592,0.312562010226038,0.423968163015193,0.543752651924192
Adam4,0.267858178209634,0.276463530998739,0.265616615305755,0.414979827696165
Synj2bp,2.54229387536476,3.02825724526823,3.93685054459158,5.52868124904154
Adam21,0.129720235745165,0.135370083634745,0.234580772427412,0.343258489922569
Med6,15.708483914593,9.6435996752991,8.69203655373228,11.2211551003738
Ttc9,11.4028530467346,13.5065827081625,13.3322869538857,9.58873049104237
Map3k9,4.06557505841164,10.9669401049021,11.8443561981656,7.45751156807812
Pcnx,11.8759796577562,12.4494906999759,11.0689925595306,9.65913596152527
Sipa1l1,12.6415093954254,38.5942730717705,77.4799589102549,111.000460132166
Rgs6,5.64494705689868,18.7963849188473,20.5604275723882,16.2861715212487
Dpf3,3.84246635798567,2.985738441158,2.96256917130969,3.21879799373507
Dcaf4,8.83640316019183,6.72786137128517,7.86673416353927,7.38931135200569
Zfyve1,13.0796189682633,10.8372367312257,11.0564096129661,9.80452881124455
Rbm25,64.6931704525838,73.1179596147287,86.1752161116857,141.45634320137
Psen1,23.4386767880162,16.5241014607199,15.6789889463852,18.3520773633519
Papln,0.496438481883246,0.819759364778612,0.216785728963726,0.469702621864001
Numb,9.6622130872758,11.5704574720973,12.7721430930393,13.6291981935371
2410016O06Rik,3.16256721524569,3.15336227861665,3.15159017360107,3.71347303308358
Acot2,15.2401691591607,5.95254055439775,5.94772982371519,6.55263017009751
Acot1,83.8969314286488,14.1248019607988,12.8438821243359,10.190909744369
Acot4,0.196918230642685,0.597114349049572,0.743568195039076,1.37772075475417
Acot3,0.293980657455446,0.354653261272046,0.340900408869253,0.839773603680171
Acot5,0.994706073792223,0.655182520752628,0.727042684427436,0.562089509333751
Acot6,2.84783170580961,2.82973260513063,2.81872527632915,2.97299941229783
Dnal1,10.4391115136955,39.1576735925536,43.6256124707897,28.1074782367078
Pnma1,0.892367679383814,0.944062478336494,0.895788909012058,0.738103472382021
Elmsan1,3.74947654158486,3.21471600085545,3.49382815575705,3.97311248979785
Ptgr2,16.1084079538414,28.5409590288859,37.4544854383232,33.1919598717977
Zfp410,8.71163509842038,6.0245308561126,5.30868594579382,4.74977065362856
Fam161b,2.6094815391724,2.81426655350795,3.10152559716614,4.23456970754197
Coq6,8.67185477091074,6.55498695489606,6.49130155472596,7.45394932903005
Entpd5,10.9395385991728,12.3441422318445,13.9345223965877,13.406642164507
Ccdc176,2.54785489832665,3.56438060990065,3.94981014443633,8.4276121683181
Rnf113a2,8.33209944228737,7.50717752134176,7.4458879898702,8.14146440716668
Aldh6a1,35.6655195642633,38.5596965183037,47.6148931691535,55.4987133461099
Lin52,9.2973775163276,10.1923049859569,14.006668236231,14.7298867400276
Abcd4,8.98708636311213,11.4491693410482,10.3370213779838,12.3437956724901
Syndig1l,4.70071455388606,5.039703402019,8.16428811041506,7.78327128518385
Npc2,47.0813583614374,43.8855101279983,48.5938627607756,37.6927032986433
Isca2,30.5575411447345,29.9166245168831,31.0762499344879,32.5970936251158
